2019-09-05 16:00:42,127 INFO <module> :Start CV
2019-09-05 16:09:45,709 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 550/1000,  L: 2.593742, cost: 0.029616, cost_chiquare:0.028502, cost_l1:0.001081, cost_ltsv:0.000032
2019-09-05 16:09:49,790 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 600/1000,  L: 2.143589, cost: 0.029612, cost_chiquare:0.028497, cost_l1:0.001081, cost_ltsv:0.000034
2019-09-05 16:09:54,113 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 650/1000,  L: 1.464100, cost: 0.029608, cost_chiquare:0.028492, cost_l1:0.001081, cost_ltsv:0.000035
2019-09-05 16:09:58,737 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 700/1000,  L: 2.357948, cost: 0.029606, cost_chiquare:0.028488, cost_l1:0.001081, cost_ltsv:0.000037
2019-09-05 16:10:03,072 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 750/1000,  L: 1.610510, cost: 0.029603, cost_chiquare:0.028484, cost_l1:0.001081, cost_ltsv:0.000038
2019-09-05 16:10:07,496 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 800/1000,  L: 1.464100, cost: 0.029601, cost_chiquare:0.028480, cost_l1:0.001081, cost_ltsv:0.000040
2019-09-05 16:10:12,010 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 850/1000,  L: 1.610510, cost: 0.029600, cost_chiquare:0.028478, cost_l1:0.001081, cost_ltsv:0.000041
2019-09-05 16:10:16,601 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 900/1000,  L: 2.357948, cost: 0.029599, cost_chiquare:0.028476, cost_l1:0.001081, cost_ltsv:0.000042
2019-09-05 16:10:20,860 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 950/1000,  L: 1.610510, cost: 0.029598, cost_chiquare:0.028474, cost_l1:0.001081, cost_ltsv:0.000043
2019-09-05 16:10:24,854 INFO cv :5/10, l1: -5/-3, ltsv: -5/-2. elapsed time: 82.583687
2019-09-05 16:10:25,512 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 0/1000,  L: 3.138428, cost: 56.220379, cost_chiquare:29.937464, cost_l1:0.005802, cost_ltsv:0.000203
2019-09-05 16:10:29,857 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 50/1000,  L: 2.357948, cost: 0.030899, cost_chiquare:0.029771, cost_l1:0.001073, cost_ltsv:0.000034
2019-09-05 16:10:34,329 INFO mfista_func_healpix :l1:-5, ltsv:-5, Current iteration: 100/1000,  L: 2.143589, cost: 0.029966, cost_chiquare:0.028846, cost_l1:0.001098, cost_ltsv:0.000027
